name,date,county,county_state,city,city_state,state,race,denomination
Alaqua Methodist Church,1863,Walton,,DeFuniak Springs,,Florida,White,"Methodist Episcopal Church, South"
Bethel Church,1873,Jefferson,,Monticello,,Florida,African-American,Church of God in Christ
Faith Temple,1935,Duval,,Jacksonville,,Florida,White,Nonsectarian
Welcome Baptist Church,1910,Hillsborough,,Lithia,,Florida,White,Baptist
Seventh Day Adventist Church # 1,1917,Seminole,,Sanford,,Florida,White,Seventh-day Adventist Church
Calvary Baptist Church,1866,Pinellas,,Clearwater,,Florida,White,Southern Baptist Convention
"First Methodist Episcopal Church, South",1840,Columbia,,Lake City,,Florida,White,Methodist
New Hope African Methodist Episcopal Church,1878,Duval,,Jacksonville,,Florida,African-American,Methodist
Pisgah Church,1830,Leon,,Tallahassee,,Florida,White,"Methodist Episcopal, South"
Jackson Chapel,1924,Gadsden,,Midway,,Florida,African-American,African Methodist Episcopal
Northside Baptist Church,1927,Pinellas,,St. Petersburg,,Florida,White,Southern Baptist Convention
Seventh Day Adventist Church,1923,Polk,,Fort Meade,,Florida,White,Seventh-day Adventist Church
First Methodist Church,1879,Jackson,,Graceville,,Florida,White,Methodist Episcopal South
Murray Hill Baptist Church,1936,Duval,,Jacksonville,,Florida,White,Baptist
Shady Grove Baptist Church,1880,Leon,,Tallahassee,,Florida,African-American,"Primitive Baptist Convention of the United States of America, Inc."
Orange Creek Baptist Church,1850,Alachua,,Island Grove,,Florida,White,Baptist
Mount Carmel Baptist Church,1932,Pinellas,,St. Petersburg,,Florida,African-American,National Baptist Convention of the United States of America Inc.
Church of God,1935,Marion,,Ocala,,Florida,African-American,Church of God
Sanctified Holy Church of God,1938,Suwannee,,Dowling Park,,Florida,African-American,Sanctified Holy Church of God
"Glen Saint Mary Methodist Church, South",1915,Baker,,Glen Saint Mary,,Florida,White,Methodist
Second Baptist Church,1927,Sarasota,,Sarasota,,Florida,White,Southern Baptist Convention
Mount Olive Baptist Church,1918,Dade,,Miami,,Florida,African-American,Baptist
Chester Grove Baptist Church,1902,Hardee,,Bowling Green,,Florida,African-American,Baptist
Mount Olive Union Foreign Missionary Baptist Church,1920,Pasco,,Blanton,,Florida,African-American,National Baptist Convention of the United States of America Inc.
Saint James Primitive Baptist Church,1933,Pinellas,,Safety Harbor,,Florida,African-American,"Primitive Baptist Convention of the United States of America, Inc."
Mount Olive Baptist Church,1894,Marion,,Reddick,,Florida,African-American,National Baptist Convention of the United States of America Inc.
Mount Salem Baptist Church,1885,Columbia,,Columbia City,,Florida,African-American,Baptist
Saint Paul's Roman Catholic Church,1915,DeSoto,,Arcadia,,Florida,White,Roman Catholic
Church of Jesus Christ of Latter-Day Saints,1931,Orange,,Orlando,,Florida,White,Community Church
Beluah Baptist Church,1868,Polk,,Keysville,,Florida,White,Southern Baptist Convention
O'Brien Methodist Episcopal Church,1885,Suwannee,,O'Brien,,Florida,White,"Methodist Episcopal Church, South"
First Methodist Church,1891,Sarasota,,Sarasota,,Florida,White,Methodist
Spring Hill Baptist Church,1890,Alachua,,Gainesville,,Florida,White,Baptist
Mount Olive African Methodist Episcopal Church,1906,Lake,,Mount Dora,,Florida,African-American,African Methodist Episcopal Church
Saint Thomas Catholic Church Mission,1890,Polk,,Bartow,,Florida,White,Roman Catholic
Bahai Revelation,1932,Dade,,Miami,,Florida,Armenian,Spiritual Assembly of Bahai of US and Canada
Valparaiso Community Church,1920,Okaloosa,,Valparaiso,,Florida,white,Inter-denominational
Ruskin Baptist Church,1937,Hillsborough,,Ruskin,,Florida,White,Baptist
Bethel African Methodist Episcopal Church,1888,Lake,,Okahumpka,,Florida,African-American,African Methodist Episcopal Church
Spiritual Tabernacle of God,1936,Hillsborough,,Tampa,,Florida,African-American,Independent
First Baptist Church,1869,Seminole,,St. Oviedo,,Florida,White,Southern Baptist Convention
Elizabeth Baptist Church,1921,Duval,,Eastport,,Florida,African-American,Baptist
Myrtle Grove Baptist Church,1930,Escambia,,Myrtle Grove,,Florida,White,Southern Baptist Convention
Full Gospel Tabernacle,1927,Seminole,,Sanford,,Florida,White,non-denominational
Mount Pleasant Church,1935,Wakulla,,Wakulla,,Florida,African-American,National Baptist Convention of the United States of America Inc.
Raymond Brack Sunday School,1934,Lafayette,,Mayo,,Florida,White,Nondenominational
Saint Mary's No. 1,1922,Bay,,Saint Andrew,,Florida,African-American,Baptist
Lake Charm Memorial Church,1888,Seminole,,St. Oviedo,,Florida,White,non-denominational
Mount Tabor Missionary Baptist Church,1921,Manatee,,Tallavast,,Florida,African-American,National Baptist Convention of the United States of America Inc.
Wallace Memorial Presbyterian Church,1913,Bay,,Panama City,,Florida,White,Presbyterian
New England Church,1906,Leon,,Tallahassee,,Florida,African-American,African Methodist Episcopal Church
Pine Level Baptist Church,1926,Suwannee,,Dowling Park,,Florida,White,Southern Baptist Convention
Mount Pleasant Church,1876,Jefferson,,Monticello,,Florida,African-American,National Baptist Convention of the United States of America Inc.
Oakland Missionary Baptist Church,1878,Taylor,,Perry,,Florida,White,Southern Baptist Convention
Wayside Chapel,1938,Bay,,Panama City,,Florida,White,Methodist
Clearwater Gospel Tabernacle,1934,Pinellas,,Clearwater,,Florida,White,Interdenominational
Seffner Baptist Church,1885,Hillsborough,,Seffner,,Florida,White,Baptist
First Baptist Church,1934,Sarasota,,Venice,,Florida,White,Southern Baptist Convention
Pillar of Fire,1912,Volusia,,Daytona Beach,,Florida,White,"Pillar of Fire (Pentecostal Union), (Holiness)"
Pleasant Ridge Baptist Church,1892,Walton,,DeFuniak Springs,,Florida,White,Southern Baptist Convention
Greater Zion Baptist Church,1921,Pinellas,,Clearwater,,Florida,African-American,National Baptist Convention of the United States of America Inc.
New Hope Baptist Church,1922,Escambia,,Goulding,,Florida,African-American,National Baptist Convention of the United States of America Inc.
Silver Lake Presbyterian Church,1870,Seminole,,Sanford,,Florida,White,Presbyterian
Church of Christ,1901,Alachua,,Gainesville,,Florida,White,Church of Christ
Jacksonville Beach Baptist,1922,Duval,,Jacksonville Beach,,Florida,White,Baptist
Cocoa Plum Baptist Church,1903,Dade,,"Larkins, Miami",,Florida,White,Baptist
Methodist Episcopal Church,1905,Calhoun,,Blountstown,,Florida,White,Methodist
St. Martha's Missionary Baptist Church,1910,Volusia,,Oak Hill,,Florida,African-American,National Baptist Convention of America Inc.
Richland Baptist Church,1885,Pasco,,Richland,,Florida,White,Southern Baptist Convention
Charlotte County Incorporations,1938,Charlotte,,null,,Florida,null,null
Beauty Park Baptist Church,1936,Hamilton,,Blue Springs,,Florida,African-American,Baptist
Liberty Chapel Baptist Church,1858,Marion,,Fairfield,,Florida,African-American,National Baptist Convention of the United States of America Inc.
Bethel Progressive Baptist Church,1911,Orange,,Winter Park,,Florida,African-American,National Baptist Convention of America Inc.
Little Elam Primitive Baptist Church,1932,Polk,,Fort Meade,,Florida,White,Mount Enon Primitive Baptist Church
Bethlehem Missionary Baptist,1851,Leon,,Tallahassee,,Florida,African-American,Missionary Baptist
Mount Carmel Baptist Church,1900,Nassau,,Yulee,,Florida,African-American,National Baptist Convention of the United States of America Inc.
Bethel Methodist Episcopal Church,1880,Duval,,Mandarin,,Florida,White,Methodist
Jay Methodist Church,1915,Santa Rosa,,Jay,,Florida,White,Methodist
Shiloh Baptist Church,1858,Leon,,Wadesboro,,Florida,African-American,Missionary Baptist
St. Paul African Methodist Episcopal Church,1924,Orange,,Orlando,,Florida,African-American,African Methodist Episcopal
Mt. Bethel Baptist Church,1909,Santa Rosa,,Bagdad,,Florida,African-American,National Baptist Convention of America Inc.
Bethlehem Primitive Baptist Church,1871,Hillsborough,,Fort Green,,Florida,White,Primitive Baptist
New Zion Baptist Church,1927,Leon,,Tallahassee,,Florida,African-American,"Primitive Baptist Convention of the United States of America, Inc."
Pleasant Plain Methodist Episcopal Church,1860,Alachua,,Newberry,,Florida,White,Methodist
Deep Creek Advent Christian Church,1907,Columbia,,Lake City,,Florida,White,Adventist
Church of God in Christ,1922,Gadsden,,Midway,,Florida,African-American,Church of God in Christ
Johnstown Baptist Church,1936,Union,,Johnstown,,Florida,White,Southern Baptist Convention
Hernando County Incorporations,1939,Hernando,,null,,Florida,null,null
Christ Church,1840,Jefferson,,Monticello,,Florida,White,Protestant Episcopalian
Saint Johns Baptist Church,1889,Putnam,,Satsuma,,Florida,African-American,National Baptist Convention of the United States of America Inc.
Second Baptist Church,1915,Lee,,Fort Myers,,Florida,White,Southern Baptist Convention
Macedonia Baptist Church,1933,Charlotte,,Punta Gorda,,Florida,African-American,Baptist
Wayman Chapel African Methodist Episcopal Church,1882,Duval,,Jacksonville,,Florida,African-American,Methodist
Advent Christian Church,1903,Bay,,Millville,,Florida,White,Adventist
Testerina Baptist Church,1871,Leon,,Tallahassee,,Florida,African-American,"Primitive Baptist Convention of the United States of America, Inc."
Lake Hill Baptist Church,1940,Orange,,Orlo Vista,,Florida,White,Southern Baptist Convention
Church of God,1925,Broward,,Hollywood Liberia,,Florida,African-American,Church of God
"Church of God, First Church Mother",1916,Liberty,,Bristol,,Florida,African-American,Churches of God
Orange Lake African Methodist Episcopal Church,1887,Marion,,Orange Lake,,Florida,African-American,African Methodist Episcopal Church
Pope Chappel Church,1911,Jackson,,Marianna,,Florida,African-American,African Methodist Episcopal Church
Mount Sinai Missionary Baptist Church,1935,Dade,,Perrine,,Florida,African-American,Baptist
Pentecostal Holiness Church,1937,Calhoun,,Blountstown,,Florida,White,Pentecostal
Barberville First Baptist Church,1889,Volusia,,Barberville,,Florida,White,Southern Baptist Convention
Bradwell Holiness Church,1915,Gadsden,,Quincy,,Florida,African-American,Pentecostal
Springville African Methodist Episcopal Church,1898,Columbia,,Suwannee Valley,,Florida,African-American,Methodist
Emmanuel Mission,1878,Putnam,,Welaka,,Florida,White,Protestant Episcopal Church
Yulee Methodist Church,1900,Nassau,,Yulee,,Florida,White,"Methodist Episcopal Church, South"
Snead's Island Full Gospel Tabernacle,1924,Manatee,,Snead's Island,,Florida,White,Interdenominational
Svea Baptist Church,1937,Okaloosa,,Laurel Hill,,Florida,White,Southern Baptist Convention
Pine Hill Church,1919,Leon,,Tallahassee,,Florida,African-American,African Methodist Episcopal Church
Lake County Tax Roll,1939,Lake,,null,,Florida,null,null
New Hope Methodist Episcopal Church,1889,Marion,,Citra,,Florida,African-American,African Methodist Episcopal Church
First Baptist Church of Cross City,1928,Dixie,,Cross City,,Florida,African-American,Baptist
New Bethel Missionary Baptist Church,1912,Hamilton,,Jasper,,Florida,African-American,Baptist
Unity Study Class,1937,Sarasota,,Sarasota,,Florida,White,Unity School of Christianity
Saint Johns Methodist Episcopal Church,1877,Alachua,,Alachua,,Florida,White,Methodist
Saint Mark Baptist Church,1916,Highlands,,Avon Park,,Florida,African-American,Baptist
First Baptist Church,1901,Palm Beach,,West Palm Beach,,Florida,White,Southern Baptist Convention
Mt. Lilla Missionary Baptist Church,1879,Duval,,Jacksonville,,Florida,African-American,Baptist
East Side Baptist Church,1926,Polk,,Mulberry,,Florida,White,Southern Baptist Convention
"First Methodist Episcopal, South",1913,Indian River,,Vero Beach,,Florida,White,Methodist Episcopal
Marion County Incorporations,1939,Marion,,null,,Florida,null,null
Mt. Zion Methodist Episcopal Church,1869,Duval,,Jacksonville,,Florida,African-American,Methodist
Saint Elam Church,1925,Jefferson,,Monticello,,Florida,African-American,National Baptist Convention of the United States of America Inc.
Wesley Chapel African Methodist Episcopal Zion Church,1917,Duval,,Jacksonville,,Florida,African-American,Methodist
Methodist Episcopal Church South,1913,Martin,,Salerno,,Florida,White,"Methodist Episcopal Church, South"
Broad Street Baptist Church,1934,Duval,,Jacksonville,,Florida,African-American,Baptist
Gulfport Methodist Episcopal Church,1911,Pinellas,,St. Petersburg,,Florida,White,"Methodist Episcopal Church, South"
Monroe County Incorporations,1939,Monroe,,null,,Florida,null,null
First Born Church of The Living God,1927,Wakulla,,Crawfordville,,Florida,African-American,First Born Church of The Living God
Immaculate Conception,1847,Duval,,Jacksonville,,Florida,White,Roman Catholic
Mount Zion African Methodist Episcopal Church,1927,Palm Beach,,Belle Glade,,Florida,African-American,African Methodist Episcopal Church
Zion Bethel Baptist Church,1892,Marion,,McIntosh,,Florida,African-American,National Baptist Convention of the United States of America Inc.
Mitchell's Creek Baptist Church,1875,Escambia,,Bluff Springs,,Florida,White,Southern Baptist Convention
Church of God in Christ,1925,Volusia,,Ormond,,Florida,African-American,Church of God in Christ
Mount Pleasant Methodist Episcopal Church,1871,Alachua,,Gainesville,,Florida,African-American,Methodist
The Cathedral,1565,St. Johns,,St. Augustine,,Florida,White,Roman Catholic
Church of God (Apostalic),1939,Palm Beach,,Loxahatchee,,Florida,African-American,Church of God
"Newberry Methodist Episcopal Church, South",1896,Alachua,,Newberry,,Florida,White,Methodist
First Born Holiness Church,1931,Jefferson,,Monticello,,Florida,African-American,Church of God in Christ
Christian Science Society,1937,Polk,,Lake Wales,,Florida,White,"Church of Christ, Scientist"
Macedonia Church,1905,Jefferson,,Monticello,,Florida,African-American,African Methodist Episcopal Church
Woodville Baptist Church,1906,Leon,,Woodville,,Florida,White,Southern Baptist Convention
Mount Vernon Presbyterian Church,1890,Putnam,,Palatka,,Florida,African-American,Presbyterian Church of the United States
Bethlehem  Baptist Church,1920,Orange,,Orlando,,Florida,African-American,National Baptist Convention of America Inc.
Saint James African Methodist Episcopal Church,1902,Manatee,,Ellenton,,Florida,African-American,African Methodist Episcopal Church
Saint Luke Church,1867,Jackson,,Marianna,,Florida,African-American,National Baptist Convention of the United States of America Inc.
Newberry Protestant Episcopal Mission,1920,Alachua,,Newberry,,Florida,White,Episcopal
Church of God in Christ,1926,Highlands,,Sebring,,Florida,African-American,Churches of Christ
New Hope Primitive Baptist Church,1912,Duval,,Jacksonville,,Florida,African-American,Baptist
Salem First Baptist Church,1889,Franklin,,Carrabelle,,Florida,White,Baptist
Tabernacle Baptist Church,1936,Bay,,Panama City,,Florida,African-American,Baptist
Macedonia Primitive Baptist Church,1938,Leon,,Tallahassee,,Florida,African-American,"Primitive Baptist Convention of the United States of America, Inc."
Home Sunday Service,1940,Manatee,,Manatee,,Florida,White,Church of Jesus Christ of Latter Day Saints
Central Baptist Church,1889,Duval,,Jacksonville,,Florida,African-American,Baptist
St. John's Lutheran Evangelical,1877,Duval,,Jacksonville,,Florida,White,Lutheran
St. Stephens African Methodist Church,1892,Duval,,Jacksonville,,Florida,African-American,Methodist
Duval County Tax Roll,1939,Duval,,null,,Florida,null,null
Elim Missionary Baptist Church,1857,Columbia,,Fort White,,Florida,White,Baptist
Harmony Primitive Baptist Church,1919,Santa Rosa,,Milton,,Florida,African-American,Mt. Zion Assembly
First Baptist Church,1921,Brevard,,Melbourne,,Florida,White,Baptist
Church of Jesus,1935,Palm Beach,,Bean City,,Florida,African-American,Church of Jesus
Springfield Baptist Church,1937,Duval,,Jacksonville,,Florida,White,Baptist
Panasoffkee M.E. Church,1915,Sumter,,Panasoffkee,,Florida,White,"Methodist Episcopal Church, South"
Church of Christ,1892,Levy,,Gulf Hammock,,Florida,White,Churches of Christ
Christ's Sanctified Holy People,1935,Duval,,Jacksonville,,Florida,White,Christ's Sanctified Holy Church
Church of God by Faith,1927,Alachua,,High Springs,,Florida,African-American,Church of God
Methodist Episcopal Church,1916,Marion,,Martin,,Florida,White,Methodist Episcopal Church
Whitehouse Methodist Church,1910,Duval,,Whitehouse,,Florida,White,Methodist
Church of God in Christ,1934,Levy,,Bronson,,Florida,African-American,Church of God in Christ
"Church of The Living God, Pillar and Ground of Truth",1925,Palm Beach,,Delray Beach,,Florida,African-American,"Church of The Living God, Pillar and Ground of Truth"
Greenville Baptist Church,1859,Madison,,Greenville,,Florida,White,Southern Baptist Convention
Missionary Baptist Church,1913,Calhoun,,Altha,,Florida,White,Baptist
First Presbyterian Church,1914,Gadsden,,Havana,,Florida,White,Presbyterian
Mt. Pligrim Baptist Church,1866,Santa Rosa,,Milton,,Florida,African-American,National Baptist Convention of America Inc.
Antioch Missionary Baptist Church,1909,Bay,,Sandy Creek,,Florida,African-American,Baptist
Bethlehem Baptist Church,1899,Sarasota,,Sarasota,,Florida,African-American,National Baptist Convention of America Inc.
Saint Agnes' Mission Chapel,1906,St. Johns,,St. Augustine,,Florida,White,Roman Catholic
First Baptist Church of Lakeland,1885,Polk,,Lakeland,,Florida,White,Southern Baptist Convention
"Church of Christ, Scientist",1927,Alachua,,Gainesville,,Florida,White,"Church of Christ, Scientist"
Mount Zion Baptist Church,1896,Dade,,Miami,,Florida,African-American,Baptist
New Mount  Zion Baptist Church,1930,Columbia,,Suwannee Valley,,Florida,African-American,Baptist
Church of Christ,1935,Hillsborough,,Tampa,,Florida,White,Churches of Christ
Holy Bible Mission Workers,1927,Osceola,,Kissimmee,,Florida,White,non-denominational
McDowell Chapel,1925,St. Johns,,St. Augustine,,Florida,White,Southern Baptist Convention
Grant's Chapel African Methodist Episcopal Church,1935,Columbia,,Lake City,,Florida,African-American,Methodist
Second Baptist Church,1933,Osceola,,St. Cloud,,Florida,White,Southern Baptist Convention
African Universal Church and Commerical League,1928,Duval,,Jacksonville,,Florida,African-American,African Universal Church
Saint Paul Missionary Baptist Church,1911,Dade,,Miami,,Florida,African-American,Baptist
Bellview Baptist Church,1885,Marion,,Bellview,,Florida,White,Southern Baptist Convention
Faith Church,1933,Hillsborough,,Tampa,,Florida,White,Independent
Mt. Olive African Methodist Episcopal Church,1917,Hillsborough,,Plant City,,Florida,African-American,African Methodist Episcopal
Union Baptist Church,1875,Escambia,,Pensacola,,Florida,African-American,National Baptist Convention of the United States of America Inc.
Firsth Methodist Church of Umatilla,1880,Lake,,Umatilla,,Florida,White,Southern Methodist Church
The Church of God,1934,Palm Beach,,Yahama,,Florida,African-American,Church of God
Saint Patrick's Epsicopal Church,1909,Palm Beach,,West Palm Beach,,Florida,White,The Episcopal Church
The Church of Jesus Christ,1932,Levy,,Yankeetown,,Florida,White,Churches of Christ
Vicksburg Mission,1904,Bay,,Southport,,Florida,African-American,Methodist
Springfield Church,1908,Gadsden,,Gretna,,Florida,African-American,African Methodist Episcopal
Monticello Methodist Church,1875,Jefferson,,Monticello,,Florida,White,Southern Methodist
Shining Star Baptist Church,1925,Nassau,,Italia,,Florida,African-American,National Baptist Convention of the United States of America Inc.
"Methodist Episcopal Church, South",1926,Palm Beach,,South Bay,,Florida,White,"Methodist Episcopal Church, South"
Church of God in Christ,1932,Baker,,Macclenny,,Florida,African-American,Church of God
Shiloh Baptist Church,1870,Alachua,,Archer,,Florida,White,Baptist
Santa Fe Church of Christ,1889,Suwannee,,Branford,,Florida,White,Churches of Christ
"Methodist Episcopal Church, South",1886,Washington,,Chipley,,Florida,White,"Methodist Episcopal Church, South"
Union Branch Church,1873,Jefferson,,Monticello,,Florida,African-American,National Baptist Convention of the United States of America Inc.
Concord Church,1839,Leon,,Miccosukee,,Florida,White,"Methodist Episcopal, South"
Belmont Park Methodist Church,1925,Pinellas,,Clearwater,,Florida,White,Southern Methodist Church
First Baptist Church,1869,Union,,Lake Butler,,Florida,White,Southern Baptist Convention
"First Methodist Episcopal Church, South",1870,Levy,,Williston,,Florida,White,Methodist Episcopal
Ozona Baptist Church,1915,Pinellas,,Ozona,,Florida,White,Southern Baptist Convention
Pentecostal Holiness Church,1928,Volusia,,DeLand,,Florida,White,Pentecostal Holiness Church
Church of God in Unity,1932,Baker,,Olustee,,Florida,White,Church of God
First Baptist Church of Umatilla,1889,Lake,,Umatilla,,Florida,White,Southern Baptist Convention
Mount Zion Church,1880,Gadsden,,Havana,,Florida,African-American,African Methodist Episcopal
Oak Hill Baptist Church,1890,Volusia,,Oak Hill,,Florida,White,Southern Baptist Convention
Levyville Baptist Church,1884,Levy,,Chiefland,,Florida,White,Baptist
Elizabeth Missionary Baptist Church,1902,Duval,,Jacksonville,,Florida,African-American,Baptist
Presbyterian Church,1903,Lafayette,,Mayo,,Florida,White,Presbyterian
Mount Tabor Missionary Baptist Church,1894,Dade,,Miami,,Florida,African-American,Baptist
Branford Presbyterian Church,1886,Suwannee,,Branford,,Florida,White,Presbyterian Church of the United States
First Spiritualist Church,1928,Volusia,,Daytona Beach,,Florida,White,National Spiritualist Association
Spiritualist Science Church,1935,Duval,,Jacksonville,,Florida,White,Spiritualist
Saint Luke's Episcopal Church,1838,Jackson,,Marianna,,Florida,White,The Episcopal Church
Saint Andrews Bay Mission,1855,Bay,,Saint Andrew,,Florida,White,Methodist
Concord Baptist Church,1841,Madison,,Lovett,,Florida,White,Southern Baptist Convention
Morning Star Baptist Church,1920,Levy,,Chiefland,,Florida,African-American,Baptist
Old Town Methodist Episcopal Church,1870,Dixie,,Old Town,,Florida,White,Methodist
Mt. Calvary Church,1872,Gadsden,,Quincy,,Florida,African-American,Primitive Baptist
Second Baptist Church of Zephyrhills,1932,Pasco,,Zephyrhills,,Florida,White,Southern Baptist Convention
Sanctified Church,1931,Leon,,Miccosukee,,Florida,African-American,Church of God in Christ
Temple Israel,1922,Dade,,Miami,,Florida,Jewish,Reformed Body of Union of American Hebrew Congregations
Volusia County Incorporations,1939,Volusia,,null,,Florida,null,null
Saint Luke Baptist Church,1933,Gilchrist,,Trenton,,Florida,African-American,Baptist
Beulah Baptist Church,1933,Collier,,Matmon,,Florida,African-American,Baptist
"McIntosh Methodist Episcopal Church, South",1885,Marion,,McIntosh,,Florida,White,"Methodist Episcopal Church, South"
"Orange, Lake, Seminole, and Osceola County Incorporations",1939,"Orange, Lake, Seminole, and Osceola",,null,,Florida,null,null
Miami Primitive Baptist Church,1925,Dade,,Miami,,Florida,White,Baptist
Saint Paul's Colored Methodist Episcopal Church,1884,Alachua,,Gainesville,,Florida,African-American,Methodist
Union Congregational Church,1883,Lake,,Tavares,,Florida,White,Congregational and Christian Churches
Peniel Baptist Church,1852,Putnam,,Palatka,,Florida,White,Southern Baptist Convention
Blue Springs Baptist Church,1880,Volusia,,Orange City,,Florida,African-American,National Baptist Convention of America Inc.
West End Church of Christ,1937,Dade,,Miami,,Florida,White,Nondenominational
The Church of God,1903,Taylor,,Perry,,Florida,African-American,The Church of God
Full Gospel Assembly,1935,Pinellas,,St. Petersburg,,Florida,White,General Council of The Assemblies of God
First Christian Church,1926,Sarasota,,Sarasota,,Florida,White,Disciples of Christ
Beulah Hill Baptist Church,1935,Columbia,,Lake City,,Florida,African-American,Baptist
Monticello Presbyterian Church,1830,Jefferson,,Monticello,,Florida,White,Presbyterian
Bethel Baptist Church,1904,Duval,,Sweetwater,,Florida,African-American,Baptist
First Baptist Church,1909,Osceola,,St. Cloud,,Florida,White,Southern Baptist Convention
Union Community African Methodist Episcopal Church,1922,Duval,,Jacksonville,,Florida,African-American,Methodist
New Judson Missionary Baptist Church,1877,Bay,,Red Fish Point,,Florida,African-American,Baptist
Little Rock Baptist Church,1912,Sumter,,St. Catherine,,Florida,African-American,National Baptist Convention of America Inc.
Wildwood Presbyterian,1876,Sumter,,Wildwood,,Florida,White,Presbyterian
Mount Pisgah Church,1905,Leon,,Tallahassee,,Florida,African-American,African Methodist Episcopal Church
Arnett Chapel Church,1878,Gadsden,,Quincy,,Florida,African-American,African Methodist Episcopal
First Presbyterian Church of the United States of Crooked Lake,1920,Polk,,Babson Park,,Florida,White,Presbyterian Church of the United States
Wesleyan Chapel African Methodist Episcopal Church,1876,Marion,,Cotton Plant,,Florida,African-American,African Methodist Episcopal Church
Seventh Day Adventist,1905,Pinellas,,St. Petersburg,,Florida,White,Seventh-day Adventist Church
St. Marks Methodist Episcopal Church,1921,Duval,,Jacksonville,,Florida,African-American,Methodist
Ephesus Baptist Church,1845,Nassau,,Hilliard,,Florida,White,Southern Baptist Convention
Free Will Baptist Church of Millville,1932,Bay,,Millville,,Florida,White,Baptist
The Roser Memorial Church,1939,Manatee,,Anna Maria,,Florida,White,Non-Denominational
Jesus Only Pentecostal Church,1921,Brevard,,Melbourne,,Florida,White,Pentecostal
Macedonia Missionary Baptist Church,1924,Volusia,,Ormond,,Florida,African-American,National Baptist Convention of America Inc.
Church of Christ,1939,Volusia,,Port Orange,,Florida,White,Churches of Christ
Union Church,1890,St. Lucie,,Eden,,Florida,White,non-denominational
Saint Lukes African Methodist Episcopal Church,1906,Alachua,,Alachua,,Florida,African-American,Methodist
Milton Methodist Episcopal Church,1866,Santa Rosa,,Milton,,Florida,White,"Methodist Episcopal Church, South"
Hickory Hill Baptist Church,1875,Leon,,Tallahassee,,Florida,African-American,"Primitive Baptist Convention of the United States of America, Inc."
Bethel Baptist Church,1880,Union,,Lake Butler,,Florida,White,Southern Baptist Convention
St. John Colored Methodist Episcopal Church,1918,Volusia,,Daytona Beach,,Florida,African-American,African Methodist Episcopal
Church of God,1939,Seminole,,St. Oviedo,,Florida,African-American,Community Church
Mt. Herman Baptist Church,1937,Duval,,Jacksonville,,Florida,African-American,Baptist
St. Paul's Baptist Church,1914,Hardee,,Zolfo Springs,,Florida,African-American,Baptist
Brownville Baptist Church,1919,DeSoto,,Brownville,,Florida,White,Baptist
Church of God,1914,Pinellas,,Tarpon Springs,,Florida,White,Church of God
Church of God in Christ,1940,Marion,,Dunnellon,,Florida,African-American,Church of God in Christ
The First Presbyterians Church,1917,Pinellas,,Gulfport,,Florida,White,Presbyterian Church of the United States
Allen Chapel African Methodist Episcopal Church,1875,Suwannee,,Wellborn,,Florida,African-American,African Methodist Episcopal Church
Wood Street Church of Christ,1930,Pinellas,,Dunedin,,Florida,White,General Council of The Assemblies of God
The Seventh Day Adventists Temple,1918,Dade,,Miami,,Florida,White,Adventist
"African Universal Church and Commerical League, Inc",1931,Bay,,null,,Florida,African-American,Panama City
Pleasant Grove Baptist Church,1936,Dixie,,Old Town,,Florida,African-American,Baptist
Church of our Lord Jesus Christ,1927,Seminole,,Sanford,,Florida,African-American,Churches of Christ
Bethlehem Lutheran Church,1859,Columbia,,Lake City,,Florida,White,Lutheran
Palm River Baptist Church,1927,Hillsborough,,Tampa,,Florida,White,Baptist
"First Methodist Episcopal Church, South",1892,Palm Beach,,West Palm Beach,,Florida,White,"Methodist Episcopal Church, South"
Eureka Baptist Church,1887,Marion,,Eureka,,Florida,White,Southern Baptist Convention
Trinity United Wesleyan Methodist Church,1932,Monroe,,Key West,,Florida,White,United Wesleyan Methodist Church
Elliot Chapel,1919,Leon,,Tallahassee,,Florida,African-American,Florida Union Methodist Episcopal in American
Ebenezer United Wesleyan Methodist Church,1923,Palm Beach,,West Palm Beach,,Florida,African-American,African Methodist Episcopal Church
First Baptist Church,1901,Hillsborough,,Tampa,,Florida,White,Baptist
First Church of Christ,1917,Lake,,Eustis,,Florida,White,Churches of Christ
Eden Baptist Church,1910,Polk,,Fort Meade,,Florida,White,Southern Baptist Convention
Crawford Methodist Church,1925,Nassau,,Crawford,,Florida,White,Southern Methodist Church
Pine Grove Baptist Church,1866,Madison,,Madison,,Florida,White,Southern Baptist Convention
"Bland Methodist Episcopal Church, South",1905,Alachua,,Bland,,Florida,White,Methodist
Collier County Tax Roll,1939,Collier,,null,,Florida,null,null
The Heidtsville Church,1890,Marion,,Dunnellon,,Florida,White,Southern Baptist Convention
St. John's Missionary Baptist Church,1885,Volusia,,Glenwood,,Florida,African-American,National Baptist Convention of America Inc.
Friendship Missionary Baptist Church,1929,Pinellas,,St. Petersburg,,Florida,African-American,National Baptist Convention of the United States of America Inc.
Church of God,1931,Duval,,Otis,,Florida,White,Church of God
Mount Zion Methodist Church,1875,Suwannee,,Padlock,,Florida,African-American,African Methodist Episcopal Church
"Church of Our Savior, Mission of Our Savior",1884,Duval,,Mandarin,,Florida,White,Episcopal
Church of God in DeLeon Springs,1940,Volusia,,DeLeon,,Florida,White,Church of God
Church of God in Christ,1929,Putnam,,Crescent City,,Florida,African-American,Church of God in Christ
